Machine_ID,Machine_Type,Failure_Prob,Health_Score,Risk_Tier,Scenario_Name,Maintenance_Start_Hour,Maintenance_Planned,Delay_Hours,Expected_Downtime_Hours,Expected_Maintenance_Cost,Expected_Downtime_Cost,Expected_Production_Loss,Expected_Total_Cost,Decision,Decision_Reason
MCH-010,CNC Mill,0.007,99.3,Healthy,Delay 72h,72,0,72,0.39,370.44,283.17,122.55,4097.01,Delay,"Low failure risk (p=0.01); delay saves ₹33,662 with only 27.5h extra expected downtime."
MCH-011,Conveyor,0.005,99.5,Healthy,Preventive Now,0,1,0,45.97,12850.98,111279.55,16616.3,124251.8,Delay,"Low failure risk (p=0.01); delay saves ₹122,127 with only 45.5h extra expected downtime."
MCH-011,Conveyor,0.005,99.5,Healthy,Delay 72h,72,0,72,0.46,204.8,1111.13,165.91,2124.38,Delay,"Low failure risk (p=0.01); delay saves ₹122,127 with only 45.5h extra expected downtime."
MCH-012,Welding Unit,0.007,99.3,Healthy,Preventive Now,0,1,0,35.47,19536.35,102975.27,10001.88,122692.83,Delay,"Low failure risk (p=0.01); delay saves ₹119,811 with only 35.0h extra expected downtime."
MCH-012,Welding Unit,0.007,99.3,Healthy,Delay 72h,72,0,72,0.5,234.74,1438.63,139.73,2881.46,Delay,"Low failure risk (p=0.01); delay saves ₹119,811 with only 35.0h extra expected downtime."
MCH-013,Hydraulic Press,0.99,1.0,Critical,Preventive Now,0,1,0,19.84,13066.41,16989.53,6163.5,97950.79,Preventive Now,"High failure risk (p=0.99) makes delay expensive; PM now saves ₹416,183 and 10.4h downtime."
MCH-013,Hydraulic Press,0.99,1.0,Critical,Delay 72h,72,0,72,30.29,35565.4,25936.21,9409.2,514133.98,Preventive Now,"High failure risk (p=0.99) makes delay expensive; PM now saves ₹416,183 and 10.4h downtime."
MCH-014,Welding Unit,0.011,98.9,Healthy,Preventive Now,0,1,0,30.4,24006.82,19142.87,8571.18,43472.84,Delay,"Low failure risk (p=0.01); delay saves ₹39,975 with only 29.7h extra expected downtime."
MCH-014,Welding Unit,0.011,98.9,Healthy,Delay 72h,72,0,72,0.67,923.67,419.76,187.95,3497.77,Delay,"Low failure risk (p=0.01); delay saves ₹39,975 with only 29.7h extra expected downtime."
MCH-015,Welding Unit,0.99,1.0,Critical,Preventive Now,0,1,0,20.49,12020.35,36088.49,5777.82,119350.65,Preventive Now,"High failure risk (p=0.99) makes delay expensive; PM now saves ₹470,600 and 10.8h downtime."
MCH-015,Welding Unit,0.99,1.0,Critical,Delay 72h,72,0,72,31.28,59912.11,55092.69,8820.43,589950.19,Preventive Now,"High failure risk (p=0.99) makes delay expensive; PM now saves ₹470,600 and 10.8h downtime."
MCH-016,Hydraulic Press,0.005,99.5,Healthy,Preventive Now,0,1,0,31.95,13411.72,21202.19,9922.88,34697.58,Delay,"Low failure risk (p=0.01); delay saves ₹33,612 with only 31.6h extra expected downtime."
MCH-016,Hydraulic Press,0.005,99.5,Healthy,Delay 72h,72,0,72,0.32,315.94,211.7,99.08,1085.45,Delay,"Low failure risk (p=0.01); delay saves ₹33,612 with only 31.6h extra expected downtime."
MCH-017,Welding Unit,0.005,99.5,Healthy,Preventive Now,0,1,0,8.51,23533.5,16048.15,2400.14,39832.5,Delay,"Low failure risk (p=0.01); delay saves ₹37,844 with only 8.4h extra expected downtime."
MCH-017,Welding Unit,0.005,99.5,Healthy,Delay 72h,72,0,72,0.09,155.59,160.24,23.97,1988.17,Delay,"Low failure risk (p=0.01); delay saves ₹37,844 with only 8.4h extra expected downtime."
MCH-018,Welding Unit,0.006,99.4,Healthy,Preventive Now,0,1,0,23.64,20970.63,19243.32,6665.92,40508.52,Delay,"Low failure risk (p=0.01); delay saves ₹37,900 with only 23.4h extra expected downtime."
MCH-018,Welding Unit,0.006,99.4,Healthy,Delay 72h,72,0,72,0.28,414.56,230.5,79.85,2608.85,Delay,"Low failure risk (p=0.01); delay saves ₹37,900 with only 23.4h extra expected downtime."
MCH-019,Lathe,0.168,83.2,Healthy,Preventive Now,0,1,0,29.2,22386.72,71752.99,7408.13,98094.77,Delay,"Low failure risk (p=0.17); delay saves ₹38,691 with only 19.9h extra expected downtime."
MCH-019,Lathe,0.168,83.2,Healthy,Delay 72h,72,0,72,9.34,10084.36,22952.21,2369.7,59403.64,Delay,"Low failure risk (p=0.17); delay saves ₹38,691 with only 19.9h extra expected downtime."
MCH-020,Conveyor,0.005,99.5,Healthy,Preventive Now,0,1,0,28.44,10859.2,81958.21,10281.11,93180.81,Delay,"Low failure risk (p=0.01); delay saves ₹89,716 with only 28.2h extra expected downtime."
MCH-020,Conveyor,0.005,99.5,Healthy,Delay 72h,72,0,72,0.28,223.55,818.35,102.66,3464.61,Delay,"Low failure risk (p=0.01); delay saves ₹89,716 with only 28.2h extra expected downtime."
MCH-021,Conveyor,0.005,99.5,Healthy,Preventive Now,0,1,0,32.75,8710.47,95063.61,11837.76,104035.3,Delay,"Low failure risk (p=0.01); delay saves ₹100,951 with only 32.4h extra expected downtime."
MCH-021,Conveyor,0.005,99.5,Healthy,Delay 72h,72,0,72,0.33,393.79,949.21,118.2,3084.47,Delay,"Low failure risk (p=0.01); delay saves ₹100,951 with only 32.4h extra expected downtime."
MCH-022,Conveyor,0.005,99.5,Healthy,Preventive Now,0,1,0,15.02,10845.49,42131.05,5430.16,53133.53,Delay,"Low failure risk (p=0.01); delay saves ₹51,498 with only 14.9h extra expected downtime."
MCH-022,Conveyor,0.005,99.5,Healthy,Delay 72h,72,0,72,0.15,168.05,420.68,54.22,1635.34,Delay,"Low failure risk (p=0.01); delay saves ₹51,498 with only 14.9h extra expected downtime."
MCH-023,Conveyor,0.005,99.5,Healthy,Preventive Now,0,1,0,41.06,19559.96,107010.38,14842.45,126709.16,Delay,"Low failure risk (p=0.01); delay saves ₹124,265 with only 40.7h extra expected downtime."
MCH-023,Conveyor,0.005,99.5,Healthy,Delay 72h,72,0,72,0.41,449.77,1068.5,148.2,2443.78,Delay,"Low failure risk (p=0.01); delay saves ₹124,265 with only 40.7h extra expected downtime."
MCH-024,CNC Mill,0.006,99.4,Healthy,Preventive Now,0,1,0,7.91,12782.29,14524.33,2491.9,27421.8,Delay,"Low failure risk (p=0.01); delay saves ₹26,242 with only 7.8h extra expected downtime."
MCH-024,CNC Mill,0.006,99.4,Healthy,Delay 72h,72,0,72,0.09,238.11,173.98,29.85,1179.93,Delay,"Low failure risk (p=0.01); delay saves ₹26,242 with only 7.8h extra expected downtime."
MCH-025,Hydraulic Press,0.006,99.4,Healthy,Preventive Now,0,1,0,42.68,19873.3,98697.5,13255.22,119020.38,Delay,"Low failure risk (p=0.01); delay saves ₹114,362 with only 42.2h extra expected downtime."
MCH-025,Hydraulic Press,0.006,99.4,Healthy,Delay 72h,72,0,72,0.51,478.98,1182.24,158.78,4658.39,Delay,"Low failure risk (p=0.01); delay saves ₹114,362 with only 42.2h extra expected downtime."
MCH-026,Welding Unit,0.005,99.5,Healthy,Preventive Now,0,1,0,45.67,11584.45,114405.74,12876.06,126330.37,Delay,"Low failure risk (p=0.01); delay saves ₹122,619 with only 45.2h extra expected downtime."
MCH-026,Welding Unit,0.005,99.5,Healthy,Delay 72h,72,0,72,0.46,301.45,1142.34,128.57,3711.65,Delay,"Low failure risk (p=0.01); delay saves ₹122,619 with only 45.2h extra expected downtime."
MCH-027,CNC Mill,0.005,99.5,Healthy,Preventive Now,0,1,0,33.15,18797.89,75229.48,10437.63,94184.28,Delay,"Low failure risk (p=0.01); delay saves ₹91,943 with only 32.8h extra expected downtime."
MCH-027,CNC Mill,0.005,99.5,Healthy,Delay 72h,72,0,72,0.33,443.89,751.17,104.22,2241.09,Delay,"Low failure risk (p=0.01); delay saves ₹91,943 with only 32.8h extra expected downtime."
MCH-028,CNC Mill,0.007,99.3,Healthy,Preventive Now,0,1,0,44.29,13467.85,128337.56,13946.21,142048.36,Delay,"Low failure risk (p=0.01); delay saves ₹138,337 with only 43.7h extra expected downtime."
MCH-028,CNC Mill,0.007,99.3,Healthy,Delay 72h,72,0,72,0.62,298.46,1792.96,194.84,3711.1,Delay,"Low failure risk (p=0.01); delay saves ₹138,337 with only 43.7h extra expected downtime."
MCH-029,Hydraulic Press,0.189,81.1,Healthy,Preventive Now,0,1,0,4.65,10273.34,9401.11,1444.11,22557.98,Preventive Now,"High failure risk (p=0.19) makes delay expensive; PM now saves ₹16,157 and -3.0h downtime."
MCH-029,Hydraulic Press,0.189,81.1,Healthy,Delay 72h,72,0,72,1.66,16128.4,3362.94,516.58,38714.86,Preventive Now,"High failure risk (p=0.19) makes delay expensive; PM now saves ₹16,157 and -3.0h downtime."
MCH-030,Lathe,0.979,2.1,Critical,Preventive Now,0,1,0,27.56,10950.11,61758.63,6990.73,116116.24,Preventive Now,"High failure risk (p=0.98) makes delay expensive; PM now saves ₹328,755 and 14.1h downtime."
MCH-030,Lathe,0.979,2.1,Critical,Delay 72h,72,0,72,41.71,62017.14,93470.98,10580.38,444871.41,Preventive Now,"High failure risk (p=0.98) makes delay expensive; PM now saves ₹328,755 and 14.1h downtime."
MCH-031,Lathe,0.043,95.7,Healthy,Preventive Now,0,1,0,43.86,9379.53,93338.49,11126.63,104752.74,Delay,"Low failure risk (p=0.04); delay saves ₹79,711 with only 40.1h extra expected downtime."
MCH-031,Lathe,0.043,95.7,Healthy,Delay 72h,72,0,72,3.72,3551.94,7924.88,944.7,25041.59,Delay,"Low failure risk (p=0.04); delay saves ₹79,711 with only 40.1h extra expected downtime."
MCH-032,CNC Mill,0.008,99.2,Healthy,Preventive Now,0,1,0,20.65,21872.96,16695.9,6501.76,39155.44,Delay,"Low failure risk (p=0.01); delay saves ₹34,525 with only 20.3h extra expected downtime."
MCH-032,CNC Mill,0.008,99.2,Healthy,Delay 72h,72,0,72,0.33,453.68,266.49,103.78,4630.7,Delay,"Low failure risk (p=0.01); delay saves ₹34,525 with only 20.3h extra expected downtime."
MCH-033,Welding Unit,0.007,99.3,Healthy,Preventive Now,0,1,0,47.4,18222.28,123136.82,13364.09,141805.09,Delay,"Low failure risk (p=0.01); delay saves ₹136,739 with only 46.7h extra expected downtime."
MCH-033,Welding Unit,0.007,99.3,Healthy,Delay 72h,72,0,72,0.66,372.44,1720.3,186.71,5065.97,Delay,"Low failure risk (p=0.01); delay saves ₹136,739 with only 46.7h extra expected downtime."
MCH-034,CNC Mill,0.01,99.0,Healthy,Preventive Now,0,1,0,36.81,10120.99,36165.19,11590.17,46441.8,Delay,"Low failure risk (p=0.01); delay saves ₹44,161 with only 36.1h extra expected downtime."
MCH-034,CNC Mill,0.01,99.0,Healthy,Delay 72h,72,0,72,0.73,522.29,721.14,231.11,2280.88,Delay,"Low failure risk (p=0.01); delay saves ₹44,161 with only 36.1h extra expected downtime."
MCH-035,CNC Mill,0.956,4.4,Critical,Preventive Now,0,1,0,51.34,20893.16,116702.85,16166.16,162921.12,Preventive Now,"High failure risk (p=0.96) makes delay expensive; PM now saves ₹247,033 and 24.9h downtime."
MCH-035,CNC Mill,0.956,4.4,Critical,Delay 72h,72,0,72,76.29,67716.6,173403.68,24020.59,409954.34,Preventive Now,"High failure risk (p=0.96) makes delay expensive; PM now saves ₹247,033 and 24.9h downtime."
MCH-036,Lathe,0.007,99.3,Healthy,Preventive Now,0,1,0,46.7,18629.02,49166.78,11846.94,68312.45,Delay,"Low failure risk (p=0.01); delay saves ₹63,632 with only 46.0h extra expected downtime."
MCH-036,Lathe,0.007,99.3,Healthy,Delay 72h,72,0,72,0.65,549.53,686.89,165.51,4680.76,Delay,"Low failure risk (p=0.01); delay saves ₹63,632 with only 46.0h extra expected downtime."
MCH-037,Welding Unit,0.231,76.9,Monitor,Preventive Now,0,1,0,4.6,8625.53,10392.01,1296.39,30882.07,Preventive Now,"High failure risk (p=0.23) makes delay expensive; PM now saves ₹66,466 and -2.6h downtime."
MCH-037,Welding Unit,0.231,76.9,Monitor,Delay 72h,72,0,72,1.99,13760.73,4489.95,560.12,97347.58,Preventive Now,"High failure risk (p=0.23) makes delay expensive; PM now saves ₹66,466 and -2.6h downtime."
MCH-038,Hydraulic Press,0.029,97.1,Healthy,Preventive Now,0,1,0,26.23,24732.48,20387.46,8145.76,46037.53,Delay,"Low failure risk (p=0.03); delay saves ₹36,767 with only 24.7h extra expected downtime."
MCH-038,Hydraulic Press,0.029,97.1,Healthy,Delay 72h,72,0,72,1.51,1980.88,1172.27,468.38,9270.38,Delay,"Low failure risk (p=0.03); delay saves ₹36,767 with only 24.7h extra expected downtime."
MCH-039,Welding Unit,0.005,99.5,Healthy,Preventive Now,0,1,0,30.55,10898.11,71692.1,8612.28,82866.86,Delay,"Low failure risk (p=0.01); delay saves ₹80,099 with only 30.2h extra expected downtime."
MCH-039,Welding Unit,0.005,99.5,Healthy,Delay 72h,72,0,72,0.3,208.13,715.85,85.99,2768.33,Delay,"Low failure risk (p=0.01); delay saves ₹80,099 with only 30.2h extra expected downtime."
MCH-040,Welding Unit,0.013,98.7,Healthy,Preventive Now,0,1,0,45.28,10983.99,107074.31,12765.39,118352.7,Delay,"Low failure risk (p=0.01); delay saves ₹112,768 with only 44.1h extra expected downtime."
MCH-040,Welding Unit,0.013,98.7,Healthy,Delay 72h,72,0,72,1.17,848.77,2773.12,330.61,5584.53,Delay,"Low failure risk (p=0.01); delay saves ₹112,768 with only 44.1h extra expected downtime."
MCH-041,CNC Mill,0.03,97.0,Healthy,Preventive Now,0,1,0,41.67,22543.14,96772.11,13120.91,120259.04,Delay,"Low failure risk (p=0.03); delay saves ₹105,727 with only 39.2h extra expected downtime."
MCH-041,CNC Mill,0.03,97.0,Healthy,Delay 72h,72,0,72,2.48,2485.81,5754.54,780.23,14532.28,Delay,"Low failure risk (p=0.03); delay saves ₹105,727 with only 39.2h extra expected downtime."
MCH-042,Hydraulic Press,0.006,99.4,Healthy,Preventive Now,0,1,0,33.96,8393.0,74522.02,10548.17,83226.23,Delay,"Low failure risk (p=0.01); delay saves ₹79,730 with only 33.6h extra expected downtime."
MCH-042,Hydraulic Press,0.006,99.4,Healthy,Delay 72h,72,0,72,0.41,529.13,892.66,126.35,3496.49,Delay,"Low failure risk (p=0.01); delay saves ₹79,730 with only 33.6h extra expected downtime."
MCH-043,Hydraulic Press,0.016,98.4,Healthy,Preventive Now,0,1,0,32.76,23012.73,51355.28,10174.04,75254.19,Delay,"Low failure risk (p=0.02); delay saves ₹67,229 with only 31.7h extra expected downtime."
MCH-043,Hydraulic Press,0.016,98.4,Healthy,Delay 72h,72,0,72,1.04,481.88,1635.52,324.01,8025.23,Delay,"Low failure risk (p=0.02); delay saves ₹67,229 with only 31.7h extra expected downtime."
MCH-044,CNC Mill,0.009,99.1,Healthy,Preventive Now,0,1,0,9.43,22515.62,24608.25,2967.71,47478.59,Delay,"Low failure risk (p=0.01); delay saves ₹44,228 with only 9.3h extra expected downtime."
MCH-044,CNC Mill,0.009,99.1,Healthy,Delay 72h,72,0,72,0.17,444.42,441.76,53.27,3250.93,Delay,"Low failure risk (p=0.01); delay saves ₹44,228 with only 9.3h extra expected downtime."
MCH-045,Welding Unit,0.007,99.3,Healthy,Preventive Now,0,1,0,35.77,16811.02,64149.53,10086.64,81083.8,Delay,"Low failure risk (p=0.01); delay saves ₹78,948 with only 35.3h extra expected downtime."
MCH-045,Welding Unit,0.007,99.3,Healthy,Delay 72h,72,0,72,0.5,418.14,896.21,140.92,2136.05,Delay,"Low failure risk (p=0.01); delay saves ₹78,948 with only 35.3h extra expected downtime."
MCH-046,Lathe,0.99,1.0,Critical,Preventive Now,0,1,0,27.5,8798.4,50346.73,6975.65,92779.91,Preventive Now,"High failure risk (p=0.99) makes delay expensive; PM now saves ₹292,564 and 14.5h downtime."
MCH-046,Lathe,0.99,1.0,Critical,Delay 72h,72,0,72,41.98,84252.46,76859.32,10649.03,385343.59,Preventive Now,"High failure risk (p=0.99) makes delay expensive; PM now saves ₹292,564 and 14.5h downtime."
MCH-047,CNC Mill,0.04,96.0,Healthy,Preventive Now,0,1,0,14.07,13690.0,35436.8,4429.13,52103.44,Delay,"Low failure risk (p=0.04); delay saves ₹26,146 with only 13.0h extra expected downtime."
MCH-047,CNC Mill,0.04,96.0,Healthy,Delay 72h,72,0,72,1.11,3312.24,2801.33,350.13,25957.8,Delay,"Low failure risk (p=0.04); delay saves ₹26,146 with only 13.0h extra expected downtime."
MCH-048,Lathe,0.011,98.9,Healthy,Preventive Now,0,1,0,18.56,19722.33,51831.55,4708.81,71848.82,Delay,"Low failure risk (p=0.01); delay saves ₹67,784 with only 18.2h extra expected downtime."
MCH-048,Lathe,0.011,98.9,Healthy,Delay 72h,72,0,72,0.41,962.13,1136.54,103.25,4064.93,Delay,"Low failure risk (p=0.01); delay saves ₹67,784 with only 18.2h extra expected downtime."
MCH-049,Hydraulic Press,0.007,99.3,Healthy,Preventive Now,0,1,0,5.11,9068.35,2911.47,1587.37,12266.24,Delay,"Low failure risk (p=0.01); delay saves ₹9,843 with only 5.0h extra expected downtime."
MCH-049,Hydraulic Press,0.007,99.3,Healthy,Delay 72h,72,0,72,0.07,472.62,40.68,22.18,2422.76,Delay,"Low failure risk (p=0.01); delay saves ₹9,843 with only 5.0h extra expected downtime."
MCH-050,Welding Unit,0.005,99.5,Healthy,Preventive Now,0,1,0,24.84,21552.76,64608.26,7002.77,86310.17,Delay,"Low failure risk (p=0.01); delay saves ₹84,240 with only 24.6h extra expected downtime."
MCH-050,Welding Unit,0.005,99.5,Healthy,Delay 72h,72,0,72,0.25,430.52,645.11,69.92,2069.94,Delay,"Low failure risk (p=0.01); delay saves ₹84,240 with only 24.6h extra expected downtime."
MCH-051,Hydraulic Press,0.037,96.3,Healthy,Preventive Now,0,1,0,14.56,24299.65,37187.0,4522.23,63195.32,Delay,"Low failure risk (p=0.04); delay saves ₹46,124 with only 13.5h extra expected downtime."
MCH-051,Hydraulic Press,0.037,96.3,Healthy,Delay 72h,72,0,72,1.07,2958.19,2721.63,330.97,17071.01,Delay,"Low failure risk (p=0.04); delay saves ₹46,124 with only 13.5h extra expected downtime."
MCH-052,Hydraulic Press,0.006,99.4,Healthy,Preventive Now,0,1,0,23.64,9239.48,37740.96,7343.27,47104.89,Delay,"Low failure risk (p=0.01); delay saves ₹45,427 with only 23.4h extra expected downtime."
MCH-052,Hydraulic Press,0.006,99.4,Healthy,Delay 72h,72,0,72,0.28,395.99,452.08,87.96,1677.67,Delay,"Low failure risk (p=0.01); delay saves ₹45,427 with only 23.4h extra expected downtime."
MCH-053,Lathe,0.006,99.4,Healthy,Preventive Now,0,1,0,43.28,10122.05,120822.42,10979.28,131170.33,Delay,"Low failure risk (p=0.01); delay saves ₹127,686 with only 42.8h extra expected downtime."
MCH-053,Lathe,0.006,99.4,Healthy,Delay 72h,72,0,72,0.52,530.83,1447.26,131.51,3483.84,Delay,"Low failure risk (p=0.01); delay saves ₹127,686 with only 42.8h extra expected downtime."
MCH-054,Hydraulic Press,0.015,98.5,Healthy,Preventive Now,0,1,0,6.43,19787.18,4210.93,1996.76,24945.26,Delay,"Low failure risk (p=0.01); delay saves ₹17,351 with only 6.2h extra expected downtime."
MCH-054,Hydraulic Press,0.015,98.5,Healthy,Delay 72h,72,0,72,0.19,1154.38,125.76,59.63,7594.47,Delay,"Low failure risk (p=0.01); delay saves ₹17,351 with only 6.2h extra expected downtime."
MCH-055,Lathe,0.005,99.5,Healthy,Preventive Now,0,1,0,6.31,18382.56,4760.92,1600.67,23235.22,Delay,"Low failure risk (p=0.01); delay saves ₹22,297 with only 6.2h extra expected downtime."
MCH-055,Lathe,0.005,99.5,Healthy,Delay 72h,72,0,72,0.06,279.55,47.54,15.98,938.67,Delay,"Low failure risk (p=0.01); delay saves ₹22,297 with only 6.2h extra expected downtime."
MCH-056,Lathe,0.018,98.2,Healthy,Preventive Now,0,1,0,42.23,22448.8,86279.91,10712.66,109442.71,Delay,"Low failure risk (p=0.02); delay saves ₹100,620 with only 40.7h extra expected downtime."
MCH-056,Lathe,0.018,98.2,Healthy,Delay 72h,72,0,72,1.51,973.82,3089.39,383.58,8823.19,Delay,"Low failure risk (p=0.02); delay saves ₹100,620 with only 40.7h extra expected downtime."
MCH-057,Conveyor,0.008,99.2,Healthy,Preventive Now,0,1,0,22.85,21387.07,37333.87,8261.27,59063.76,Delay,"Low failure risk (p=0.01); delay saves ₹55,643 with only 22.5h extra expected downtime."
MCH-057,Conveyor,0.008,99.2,Healthy,Delay 72h,72,0,72,0.36,539.52,595.91,131.86,3420.9,Delay,"Low failure risk (p=0.01); delay saves ₹55,643 with only 22.5h extra expected downtime."
MCH-058,CNC Mill,0.965,3.5,Critical,Preventive Now,0,1,0,6.58,18543.58,13990.08,2070.69,86136.1,Preventive Now,"High failure risk (p=0.96) makes delay expensive; PM now saves ₹326,966 and 3.3h downtime."
MCH-058,CNC Mill,0.965,3.5,Critical,Delay 72h,72,0,72,9.84,34814.0,20939.01,3099.21,413102.58,Preventive Now,"High failure risk (p=0.96) makes delay expensive; PM now saves ₹326,966 and 3.3h downtime."
MCH-059,Welding Unit,0.005,99.5,Healthy,Preventive Now,0,1,0,35.45,16792.62,27299.6,9995.89,44170.9,Delay,"Low failure risk (p=0.01); delay saves ₹43,047 with only 35.1h extra expected downtime."
MCH-059,Welding Unit,0.005,99.5,Healthy,Delay 72h,72,0,72,0.35,326.34,272.59,99.81,1123.51,Delay,"Low failure risk (p=0.01); delay saves ₹43,047 with only 35.1h extra expected downtime."
MCH-060,Lathe,0.983,1.7,Critical,Preventive Now,0,1,0,34.19,18079.07,94383.04,8672.6,134637.51,Preventive Now,"High failure risk (p=0.98) makes delay expensive; PM now saves ₹235,576 and 17.7h downtime."
MCH-060,Lathe,0.983,1.7,Critical,Delay 72h,72,0,72,51.9,79079.17,143298.37,13167.29,370213.52,Preventive Now,"High failure risk (p=0.98) makes delay expensive; PM now saves ₹235,576 and 17.7h downtime."
MCH-061,Welding Unit,0.987,1.3,Critical,Preventive Now,0,1,0,13.09,14041.65,26863.63,3690.86,66720.67,Preventive Now,"High failure risk (p=0.99) makes delay expensive; PM now saves ₹204,414 and 6.8h downtime."
MCH-061,Welding Unit,0.987,1.3,Critical,Delay 72h,72,0,72,19.94,58118.47,40914.14,5621.29,271135.16,Preventive Now,"High failure risk (p=0.99) makes delay expensive; PM now saves ₹204,414 and 6.8h downtime."
MCH-062,Welding Unit,0.006,99.4,Healthy,Preventive Now,0,1,0,32.76,8749.2,64250.28,9236.26,73274.2,Delay,"Low failure risk (p=0.01); delay saves ₹70,447 with only 32.4h extra expected downtime."
MCH-062,Welding Unit,0.006,99.4,Healthy,Delay 72h,72,0,72,0.39,225.97,769.62,110.64,2827.08,Delay,"Low failure risk (p=0.01); delay saves ₹70,447 with only 32.4h extra expected downtime."
MCH-063,Lathe,0.012,98.8,Healthy,Preventive Now,0,1,0,24.79,14081.64,45930.4,6288.78,60296.89,Delay,"Low failure risk (p=0.01); delay saves ₹56,519 with only 24.2h extra expected downtime."
MCH-063,Lathe,0.012,98.8,Healthy,Delay 72h,72,0,72,0.59,780.24,1098.38,150.39,3777.61,Delay,"Low failure risk (p=0.01); delay saves ₹56,519 with only 24.2h extra expected downtime."
